"Year","Film","Director","Producer/s"
"2010","The Social Network *","David Fincher","Scott Rudin, Dana Brunetti, Michael De Luca, Ceán Chaffin"
"2010","Black Swan *","Darren Aronofsky","Mike Medavoy, Scott Franklin, Arnold Messer, Brian Oliver"
"2010","The Fighter *","David O. Russell","David Hoberman, Todd Lieberman, Ryan Kavanaugh, Mark Wahlberg, Dorothy Aufiero, Paul Tamasy"
"2010","Inception *","Christopher Nolan","Christopher Nolan, Emma Thomas"
"2010","The King's Speech †","Tom Hooper","Iain Canning, Emile Sherman, Gareth Unwin"
"2011","The Descendants *","Alexander Payne","Jim Burke, Alexander Payne, Jim Taylor"
"2011","The Help *","Tate Taylor","Chris Columbus, Michael Barnathan, Brunson Green"
"2011","Hugo *","Martin Scorsese","Johnny Depp, Timothy Headington, Graham King, Martin Scorsese"
"2011","The Ides of March","George Clooney","George Clooney, Grant Heslov, Brian Oliver"
"2011","Moneyball *","Bennett Miller","Michael De Luca, Rachael Horovitz, Brad Pitt"
"2011","War Horse *","Steven Spielberg","Steven Spielberg, Kathleen Kennedy"
"2012","Argo †","Ben Affleck","Ben Affleck, George Clooney, Grant Heslov"
"2012","Django Unchained *","Quentin Tarantino","Stacey Sher, Reginald Hudlin, Pilar Savone"
"2012","Life of Pi *","Ang Lee","Ang Lee, Gil Netter, David Womark"
"2012","Lincoln *","Steven Spielberg","Steven Spielberg, Kathleen Kennedy"
"2012","Zero Dark Thirty *","Kathryn Bigelow","Kathryn Bigelow, Colin Wilson, Greg Shapiro, Ted Schipper, Megan Ellison"
"2013","12 Years a Slave †","Steve McQueen","Brad Pitt, Dede Gardner, Jeremy Kleiner, Bill Pohlad, Steve McQueen, Arnon Milchan, Anthony Katagas"
"2013","Captain Phillips *","Paul Greengrass","Michael De Luca, Dana Brunetti, Scott Rudin"
"2013","Gravity *","Alfonso Cuarón","Alfonso Cuarón, David Heyman"
"2013","Philomena *","Stephen Frears","Gabrielle Tana, Steve Coogan, Tracey Seaward"
"2013","Rush","Ron Howard","Andrew Eaton, Eric Fellner, Brian Oliver, Peter Morgan, Brian Grazer, Ron Howard"
"2014","Boyhood *","Richard Linklater","Richard Linklater, Cathleen Sutherland, Jonathan Sehring, John Sloss"
"2014","Foxcatcher","Bennett Miller","Bennett Miller, Megan Ellison, Jon Kilik, Anthony Bregman"
"2014","The Imitation Game *","Morten Tyldum","Nora Grossman, Ido Ostrowsky, Teddy Schwarzman"
"2014","Selma *","Ava DuVernay","Dede Gardner, Jeremy Kleiner, Christian Colson, Oprah Winfrey"
"2014","The Theory of Everything *","James Marsh","Tim Bevan, Eric Fellner, Lisa Bruce, Anthony McCarten"
"2015","The Revenant *","Alejandro G. Iñárritu","Steve Golin, Alejandro G. Iñárritu, Arnon Milchan, Mary Parent, Keith Redmon"
"2015","Carol","Todd Haynes","Elizabeth Karlsen, Christine Vachon, Stephen Woolley"
"2015","Mad Max: Fury Road *","George Miller","Doug Mitchell, George Miller, P. J. Voeten"
"2015","Room *","Lenny Abrahamson","Ed Guiney, David Gross"
"2015","Spotlight †","Tom McCarthy","Steve Golin, Blye Pagon Faust, Nicole Rocklin, Michael Sugar"
"2016","Moonlight †","Barry Jenkins","Dede Gardner, Jeremy Kleiner, Adele Romanski"
"2016","Hacksaw Ridge *","Mel Gibson","Terry Benedict, Paul Currie, Bruce Davey, William D. Johnson, Bill Mechanic, Brian Oliver, David Permut"
"2016","Hell or High Water *","David Mackenzie","Peter Berg, Carla Hacken, Sidney Kimmel, Gigi Pritzker, Rachel Shane, Julie York"
"2016","Lion *","Garth Davis","Iain Canning, Angie Fielder, Emile Sherman"
"2016","Manchester by the Sea *","Kenneth Lonergan","Lauren Beck, Matt Damon, Chris Moore, Kimberly Steward, Kevin J. Walsh"
