Year,Actress,Name
1973,Glenda Jackson,A Touch of Class
1973,Ellen Burstyn,The Exorcist
1973,Marsha Mason,Cinderella Liberty
1973,Barbra Streisand,The Way We Were
1973,Joanne Woodward,"Summer Wishes, Winter Dreams"
1974,Ellen Burstyn,Alice Doesn't Live Here Anymore
1974,Diahann Carroll,Claudine
1974,Faye Dunaway,Chinatown
1974,Valerie Perrine,Lenny
1974,Gena Rowlands,A Woman Under the Influence
1975,Louise Fletcher,One Flew Over the Cuckoo's Nest
1975,Isabelle Adjani,The Story of Adele H.
1975,Ann-Margret,Tommy
1975,Glenda Jackson,Hedda
1975,Carol Kane,Hester Street
1976,Faye Dunaway,Network
1976,Marie-Christine Barrault,Cousin Cousine
1976,Talia Shire,Rocky
1976,Sissy Spacek,Carrie
1976,Liv Ullmann,Face to Face
1977,Diane Keaton,Annie Hall
1977,Anne Bancroft,The Turning Point
1977,Jane Fonda,Julia
1977,Shirley MacLaine,The Turning Point
1977,Marsha Mason,The Goodbye Girl
1978,Jane Fonda,Coming Home
1978,Ingrid Bergman,Autumn Sonata
1978,Ellen Burstyn,"Same Time, Next Year"
1978,Jill Clayburgh,An Unmarried Woman
1978,Geraldine Page,Interiors
1979,Sally Field,Norma Rae
1979,Jill Clayburgh,Starting Over
1979,Jane Fonda,The China Syndrome
1979,Marsha Mason,Chapter Two
1979,Bette Midler,The Rose
1980,Sissy Spacek,Coal Miner's Daughter
1980,Ellen Burstyn,Resurrection
1980,Goldie Hawn,Private Benjamin
1980,Mary Tyler Moore,Ordinary People
1980,Gena Rowlands,Gloria
1981,Katharine Hepburn,On Golden Pond
1981,Diane Keaton,Reds
1981,Marsha Mason,Only When I Laugh
1981,Susan Sarandon,Atlantic City
1981,Meryl Streep,The French Lieutenant's Woman
1982,Meryl Streep,Sophie's Choice
1982,Julie Andrews,Victor Victoria
1982,Jessica Lange,Frances
1982,Sissy Spacek,Missing
1982,Debra Winger,An Officer and a Gentleman
1983,Shirley MacLaine,Terms of Endearment
1983,Jane Alexander,Testament
1983,Meryl Streep,Silkwood
1983,Julie Walters,Educating Rita
1983,Debra Winger,Terms of Endearment
1984,Sally Field,Places in the Heart
1984,Judy Davis,A Passage to India
1984,Jessica Lange,Country
1984,Vanessa Redgrave,The Bostonians
1984,Sissy Spacek,The River
1985,Geraldine Page,The Trip to Bountiful
1985,Anne Bancroft,Agnes of God
1985,Whoopi Goldberg,The Color Purple
1985,Jessica Lange,Sweet Dreams
1985,Meryl Streep,Out of Africa
1986,Marlee Matlin,Children of a Lesser God
1986,Jane Fonda,The Morning After
1986,Sissy Spacek,Crimes of the Heart
1986,Kathleen Turner,Peggy Sue Got Married
1986,Sigourney Weaver,Aliens
1987,Cher,Moonstruck
1987,Glenn Close,Fatal Attraction
1987,Holly Hunter,Broadcast News
1987,Sally Kirkland,Anna
1987,Meryl Streep,Ironweed
1988,Jodie Foster,The Accused
1988,Glenn Close,Dangerous Liaisons
1988,Melanie Griffith,Working Girl
1988,Meryl Streep,A Cry in the Dark
1988,Sigourney Weaver,Gorillas in the Mist
1989,Jessica Tandy,Driving Miss Daisy
1989,Isabelle Adjani,Camille Claudel
1989,Pauline Collins,Shirley Valentine
1989,Jessica Lange,Music Box
1989,Michelle Pfeiffer,The Fabulous Baker Boys
1990,Kathy Bates,Misery
1990,Anjelica Huston,The Grifters
1990,Julia Roberts,Pretty Woman
1990,Meryl Streep,Postcards from the Edge
1990,Joanne Woodward,Mr. and Mrs. Bridge
1991,Jodie Foster,The Silence of the Lambs
1991,Geena Davis,Thelma and Louise
1991,Laura Dern,Rambling Rose
1991,Bette Midler,For the Boys
1991,Susan Sarandon,Thelma and Louise
1992,Emma Thompson,Howards End
1992,Catherine Deneuve,Indochine
1992,Mary McDonnell,Passion Fish
1992,Michelle Pfeiffer,Love Field
1992,Susan Sarandon,Lorenzo's Oil
1993,Holly Hunter,The Piano
1993,Angela Bassett,What's Love Got to Do with It
1993,Stockard Channing,Six Degrees of Separation
1993,Emma Thompson,The Remains of the Day
1993,Debra Winger,Shadowlands
1994,Jessica Lange,Blue Sky
1994,Jodie Foster,Nell
1994,Miranda Richardson,Tom and Viv
1994,Winona Ryder,Little Women
1994,Susan Sarandon,The Client
1995,Susan Sarandon,Dead Man Walking
1995,Elisabeth Shue,Leaving Las Vegas
1995,Sharon Stone,Casino
1995,Meryl Streep,The Bridges of Madison County
1995,Emma Thompson,Sense and Sensibility
1996,Frances McDormand,Fargo
1996,Brenda Blethyn,Secrets and Lies
1996,Diane Keaton,Marvin's Room
1996,Kristin Scott Thomas,The English Patient
1996,Emily Watson,Breaking the Waves
1997,Helen Hunt,As Good as It Gets
1997,Helena Bonham Carter,The Wings of the Dove
1997,Julie Christie,Afterglow
1997,Judi Dench,Mrs Brown
1997,Kate Winslet,Titanic
1998,Gwyneth Paltrow,Shakespeare in Love
1998,Cate Blanchett,Elizabeth
1998,Fernanda Montenegro,Central Station
1998,Meryl Streep,One True Thing
1998,Emily Watson,Hilary and Jackie
1999,Hilary Swank,Boys Don't Cry
1999,Annette Bening,American Beauty
1999,Janet McTeer,Tumbleweeds
1999,Julianne Moore,The End of the Affair
1999,Meryl Streep,Music of the Heart
2000,Julia Roberts,Erin Brockovich
2000,Joan Allen,The Contender
2000,Juliette Binoche,Chocolat
2000,Ellen Burstyn,Requiem for a Dream
2000,Laura Linney,You Can Count on Me
2001,Halle Berry,Monster's Ball
2001,Judi Dench,Iris
2001,Nicole Kidman,Moulin Rouge!
2001,Sissy Spacek,In the Bedroom
2001,Rene Zellweger,Bridget Jones's Diary
2002,Nicole Kidman,The Hours
2002,Salma Hayek,Frida
2002,Diane Lane,Unfaithful
2002,Julianne Moore,Far from Heaven
2002,Rene Zellweger,Chicago
2003,Charlize Theron,Monster
2003,Keisha Castle-Hughes,Whale Rider
2003,Diane Keaton,Something's Gotta Give
2003,Samantha Morton,In America
2003,Naomi Watts,21 Grams
2004,Hilary Swank,Million Dollar Baby
2004,Annette Bening,Being Julia
2004,Catalina Sandino Moreno,Maria Full of Grace
2004,Imelda Staunton,Vera Drake
2004,Kate Winslet,Eternal Sunshine of the Spotless Mind
2005,Reese Witherspoon,Walk the Line
2005,Judi Dench,Mrs Henderson Presents
2005,Felicity Huffman,Transamerica
2005,Keira Knightley,Pride and Prejudice
2005,Charlize Theron,North Country
2006,Helen Mirren,The Queen
2006,Penlope Cruz,Volver
2006,Judi Dench,Notes on a Scandal
2006,Meryl Streep,The Devil Wears Prada
2006,Kate Winslet,Little Children
2007,Marion Cotillard,La Vie en Rose
2007,Cate Blanchett,Elizabeth: The Golden Age
2007,Julie Christie,Away from Her
2007,Laura Linney,The Savages
2007,Ellen Page,Juno
2008,Kate Winslet,The Reader
2008,Anne Hathaway,Rachel Getting Married
2008,Angelina Jolie,Changeling
2008,Melissa Leo,Frozen River
2008,Meryl Streep,Doubt
2009,Sandra Bullock,The Blind Side
2009,Helen Mirren,The Last Station
2009,Carey Mulligan,An Education
2009,Gabourey Sidibe,Precious
2009,Meryl Streep,Julie and Julia
2010,Natalie Portman,Black Swan
2010,Annette Bening,The Kids Are All Right
2010,Nicole Kidman,Rabbit Hole
2010,Jennifer Lawrence,Winter's Bone
2010,Michelle Williams,Blue Valentine
2011,Meryl Streep,The Iron Lady
2011,Glenn Close,Albert Nobbs
2011,Viola Davis,The Help
2011,Rooney Mara,The Girl with the Dragon Tattoo
2011,Michelle Williams,My Week with Marilyn
2012,Jennifer Lawrence,Silver Linings Playbook
2012,Jessica Chastain,Zero Dark Thirty
2012,Emmanuelle Riva,Amour
2012,Quvenzhan Wallis,Beasts of the Southern Wild
2012,Naomi Watts,The Impossible
2013,Cate Blanchett,Blue Jasmine
2013,Amy Adams,American Hustle
2013,Sandra Bullock,Gravity
2013,Judi Dench,Philomena
2013,Meryl Streep,August: Osage County
2014,Julianne Moore,Still Alice
2014,Marion Cotillard,"Two Days, One Night"
2014,Felicity Jones,The Theory of Everything
2014,Rosamund Pike,Gone Girl
2014,Reese Witherspoon,Wild
2015,Brie Larson,Room
2015,Cate Blanchett,Carol
2015,Jennifer Lawrence,Joy
2015,Charlotte Rampling,45 Years
2015,Saoirse Ronan,Brooklyn
2016,Isabelle Huppert,Elle
2016,Ruth Negga,Loving
2016,Natalie Portman,Jackie
2016,Emma Stone,La La Land
2016,Meryl Streep,Florence Foster Jenkins
