Name,Year,Oscar best film winner,Oscar best film nominee
The Ten Commandments,1956,0,1
The Bridge on the River Kwai,1957,1,1
12 Angry Men,1957,0,1
Peyton Place,1957,0,1
Sayonara,1957,0,1
Witness for the Prosecution,1957,0,1
Gigi,1958,1,1
Auntie Mame,1958,0,1
Cat on a Hot Tin Roof,1958,0,1
The Defiant Ones,1958,0,1
Separate Tables,1958,0,1
Ben-Hur,1959,1,1
Anatomy of a Murder,1959,0,1
The Diary of Anne Frank,1959,0,1
The Nun's Story,1959,0,1
Room at the Top,1959,0,1
The Apartment,1960,1,1
The Alamo,1960,0,1
Elmer Gantry,1960,0,1
Sons and Lovers,1960,0,1
The Sundowners,1960,0,1
West Side Story,1961,1,1
Fanny,1961,0,1
The Guns of Navarone,1961,0,1
The Hustler,1961,0,1
Judgment at Nuremberg,1961,0,1
Lawrence of Arabia,1962,1,1
The Longest Day,1962,0,1
The Music Man,1962,0,1
Mutiny on the Bounty,1962,0,1
To Kill a Mockingbird,1962,0,1
Tom Jones,1963,1,1
America America,1963,0,1
Cleopatra,1963,0,1
How the West Was Won,1963,0,1
Lilies of the Field,1963,0,1
My Fair Lady,1964,1,1
Becket,1964,0,1
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0,1
Mary Poppins,1964,0,1
Zorba the Greek,1964,0,1
The Sound of Music,1965,1,1
Darling,1965,0,1
Doctor Zhivago,1965,0,1
Ship of Fools,1965,0,1
A Thousand Clowns,1965,0,1
A Man for All Seasons,1966,1,1
Alfie,1966,0,1
The Russians Are Coming  the Russians Are Coming,1966,0,1
The Sand Pebbles,1966,0,1
Who's Afraid of Virginia Woolf?,1966,0,1
In the Heat of the Night,1967,1,1
Bonnie and Clyde,1967,0,1
Doctor Dolittle,1967,0,1
The Graduate,1967,0,1
Guess Who's Coming to Dinner,1967,0,1
Oliver!,1968,1,1
Funny Girl,1968,0,1
The Lion in Winter,1968,0,1
Rachel Rachel,1968,0,1
Romeo and Juliet,1968,0,1
Midnight Cowboy,1969,1,1
Anne of the Thousand Days,1969,0,1
Butch Cassidy and the Sundance Kid,1969,0,1
Hello Dolly!,1969,0,1
Z,1969,0,1
Patton,1970,1,1
Airport,1970,0,1
Five Easy Pieces,1970,0,1
Love Story,1970,0,1
M*A*S*H,1970,0,1
The French Connection,1971,1,1
A Clockwork Orange,1971,0,1
Fiddler on the Roof,1971,0,1
The Last Picture Show,1971,0,1
Nicholas and Alexandra,1971,0,1
The Godfather,1972,1,1
Cabaret,1972,0,1
Deliverance,1972,0,1
The Emigrants,1972,0,1
Sounder,1972,0,1
The Sting,1973,1,1
American Graffiti,1973,0,1
Cries and Whispers,1973,0,1
The Exorcist,1973,0,1
A Touch of Class,1973,0,1
The Godfather Part II,1974,1,1
Chinatown,1974,0,1
The Conversation,1974,0,1
Lenny,1974,0,1
The Towering Inferno,1974,0,1
One Flew Over the Cuckoo's Nest,1975,1,1
Barry Lyndon,1975,0,1
Dog Day Afternoon,1975,0,1
Jaws,1975,0,1
Nashville,1975,0,1
Rocky,1976,1,1
All the President's Men,1976,0,1
Bound for Glory,1976,0,1
Network,1976,0,1
Taxi Driver,1976,0,1
Annie Hall,1977,1,1
The Goodbye Girl,1977,0,1
Julia,1977,0,1
Star Wars,1977,0,1
The Turning Point,1977,0,1
The Deer Hunter,1978,1,1
Coming Home,1978,0,1
Heaven Can Wait,1978,0,1
Midnight Express,1978,0,1
An Unmarried Woman,1978,0,1
Kramer vs. Kramer,1979,1,1
All That Jazz,1979,0,1
Apocalypse Now,1979,0,1
Breaking Away,1979,0,1
Norma Rae,1979,0,1
Ordinary People,1980,1,1
Coal Miner's Daughter,1980,0,1
The Elephant Man,1980,0,1
Raging Bull,1980,0,1
Tess,1980,0,1
Chariots of Fire,1981,1,1
Atlantic City,1981,0,1
On Golden Pond,1981,0,1
Raiders of the Lost Ark,1981,0,1
Reds,1981,0,1
Gandhi,1982,1,1
E.T. the Extra-Terrestrial,1982,0,1
Missing,1982,0,1
Tootsie,1982,0,1
The Verdict,1982,0,1
Terms of Endearment,1983,1,1
The Big Chill,1983,0,1
The Dresser,1983,0,1
The Right Stuff,1983,0,1
Tender Mercies,1983,0,1
Amadeus,1984,1,1
The Killing Fields,1984,0,1
A Passage to India,1984,0,1
Places in the Heart,1984,0,1
A Soldier's Story,1984,0,1
Out of Africa,1985,1,1
The Color Purple,1985,0,1
Kiss of the Spider Woman,1985,0,1
Prizzi's Honor,1985,0,1
Witness,1985,0,1
Platoon,1986,1,1
Children of a Lesser God,1986,0,1
Hannah and Her Sisters,1986,0,1
The Mission,1986,0,1
A Room with a View,1986,0,1
The Last Emperor,1987,1,1
Broadcast News,1987,0,1
Fatal Attraction,1987,0,1
Hope and Glory,1987,0,1
Moonstruck,1987,0,1
Rain Man,1988,1,1
The Accidental Tourist,1988,0,1
Dangerous Liaisons,1988,0,1
Mississippi Burning,1988,0,1
Working Girl,1988,0,1
Driving Miss Daisy,1989,1,1
Born on the Fourth of July,1989,0,1
Dead Poets Society,1989,0,1
Field of Dreams,1989,0,1
My Left Foot,1989,0,1
Dances with Wolves,1990,1,1
Awakenings,1990,0,1
Ghost,1990,0,1
The Godfather Part III,1990,0,1
Goodfellas,1990,0,1
The Silence of the Lambs,1991,1,1
Beauty and the Beast,1991,0,1
Bugsy,1991,0,1
JFK,1991,0,1
The Prince of Tides,1991,0,1
Unforgiven,1992,1,1
The Crying Game,1992,0,1
A Few Good Men,1992,0,1
Howards End,1992,0,1
Scent of a Woman,1992,0,1
Schindler's List,1993,1,1
The Fugitive,1993,0,1
In the Name of the Father,1993,0,1
The Piano,1993,0,1
The Remains of the Day,1993,0,1
Forrest Gump,1994,1,1
Four Weddings and a Funeral,1994,0,1
Pulp Fiction,1994,0,1
Quiz Show,1994,0,1
The Shawshank Redemption,1994,0,1
Braveheart,1995,1,1
Apollo 13,1995,0,1
Babe,1995,0,1
Il Postino: The Postman,1995,0,1
Sense and Sensibility,1995,0,1
The English Patient,1996,1,1
Fargo,1996,0,1
Jerry Maguire,1996,0,1
Secrets & Lies,1996,0,1
Shine,1996,0,1
Titanic,1997,1,1
As Good as It Gets,1997,0,1
The Full Monty,1997,0,1
Good Will Hunting,1997,0,1
L.A. Confidential,1997,0,1
Shakespeare in Love,1998,1,1
Elizabeth,1998,0,1
Life Is Beautiful,1998,0,1
Saving Private Ryan,1998,0,1
The Thin Red Line,1998,0,1
American Beauty,1999,1,1
The Cider House Rules,1999,0,1
The Green Mile,1999,0,1
The Insider,1999,0,1
The Sixth Sense,1999,0,1
Gladiator,2000,1,1
Chocolat,2000,0,1
Crouching Tiger Hidden Dragon,2000,0,1
Erin Brockovich,2000,0,1
Traffic,2000,0,1
A Beautiful Mind,2001,1,1
Gosford Park,2001,0,1
In the Bedroom,2001,0,1
The Lord of the Rings: The Fellowship of the Ring,2001,0,1
Moulin Rouge!,2001,0,1
Chicago,2002,1,1
Gangs of New York,2002,0,1
The Hours,2002,0,1
The Lord of the Rings: The Two Towers,2002,0,1
The Pianist,2002,0,1
The Lord of the Rings: The Return of the King,2003,1,1
Lost in Translation,2003,0,1
Master and Commander: The Far Side of the World,2003,0,1
Mystic River,2003,0,1
Seabiscuit,2003,0,1
Million Dollar Baby,2004,1,1
The Aviator,2004,0,1
Finding Neverland,2004,0,1
Ray,2004,0,1
Sideways,2004,0,1
Crash,2005,1,1
Brokeback Mountain,2005,0,1
Capote,2005,0,1
Good Night and Good Luck,2005,0,1
Munich,2005,0,1
The Departed,2006,1,1
Babel,2006,0,1
Letters from Iwo Jima,2006,0,1
Little Miss Sunshine,2006,0,1
The Queen,2006,0,1
No Country for Old Men,2007,1,1
Atonement,2007,0,1
Juno,2007,0,1
Michael Clayton,2007,0,1
There Will Be Blood,2007,0,1
Slumdog Millionaire,2008,1,1
The Curious Case of Benjamin Button,2008,0,1
Frost/Nixon,2008,0,1
Milk,2008,0,1
The Reader,2008,0,1
The Hurt Locker,2009,1,1
Avatar,2009,0,1
The Blind Side,2009,0,1
District 9,2009,0,1
An Education,2009,0,1
Inglourious Basterds,2009,0,1
Precious,2009,0,1
A Serious Man,2009,0,1
Up,2009,0,1
Up in the Air,2009,0,1
The King's Speech,2010,1,1
127 Hours,2010,0,1
Black Swan,2010,0,1
The Fighter,2010,0,1
Inception,2010,0,1
The Kids Are All Right,2010,0,1
The Social Network,2010,0,1
Toy Story 3,2010,0,1
True Grit,2010,0,1
Winter's Bone,2010,0,1
The Artist,2011,1,1
The Descendants,2011,0,1
Extremely Loud & Incredibly Close,2011,0,1
The Help,2011,0,1
Hugo,2011,0,1
Midnight in Paris,2011,0,1
Moneyball,2011,0,1
The Tree of Life,2011,0,1
War Horse,2011,0,1
Argo,2012,1,1
Amour,2012,0,1
Beasts of the Southern Wild,2012,0,1
Django Unchained,2012,0,1
Les Misérables,2012,0,1
Life of Pi,2012,0,1
Lincoln,2012,0,1
Silver Linings Playbook,2012,0,1
Zero Dark Thirty,2012,0,1
12 Years a Slave,2013,1,1
American Hustle,2013,0,1
Captain Phillips,2013,0,1
Dallas Buyers Club,2013,0,1
Gravity,2013,0,1
Her,2013,0,1
Nebraska,2013,0,1
Philomena,2013,0,1
The Wolf of Wall Street,2013,0,1
Birdman or (The Unexpected Virtue of Ignorance),2014,1,1
American Sniper,2014,0,1
Boyhood,2014,0,1
The Grand Budapest Hotel,2014,0,1
The Imitation Game,2014,0,1
Selma,2014,0,1
The Theory of Everything,2014,0,1
Whiplash,2014,0,1
Spotlight,2015,1,1
The Big Short,2015,0,1
Bridge of Spies,2015,0,1
Brooklyn,2015,0,1
Mad Max: Fury Road,2015,0,1
The Martian,2015,0,1
The Revenant,2015,0,1
Room,2015,0,1
Moonlight,2016,1,1
Arrival,2016,0,1
Fences,2016,0,1
Hacksaw Ridge,2016,0,1
Hell or High Water,2016,0,1
Hidden Figures,2016,0,1
La La Land,2016,0,1
Lion,2016,0,1
Manchester by the Sea,2016,0,1
