Year,Winner and nominees,Film,Role,
2005,Terrence Howard,Hustle & Flow,DJay ,
2005,Heath Ledger,Brokeback Mountain,Ennis Del Mar ,
2005,David Strathairn,"Good Night, and Good Luck.",Edward R. Murrow ,
2006,Ryan Gosling,Half Nelson,Dan Dunne ,
2006,Aaron Eckhart,Thank You for Smoking,Nick Naylor,
2006,Edward Norton,The Painted Veil,Walter Fane,
2006,Ahmad Razvi,Man Push Cart,Ahmad,
2006,Forest Whitaker,American Gun,Carter,
2007,Philip Seymour Hoffman,The Savages,Jon Savage,
2007,Pedro Castaneda,August Evening,Jaime,
2007,Don Cheadle,Talk to Me,Petey Greene,
2007,Frank Langella,Starting Out in the Evening,Leonard Schiller,
2007,Tony Leung,"Lust, Caution",Mr. Yee,
2008,Mickey Rourke,The Wrestler,"Randy ""The Ram"" Robinson ",
2008,Javier Bardem,Vicky Cristina Barcelona,Juan Antonio Gonzalo,
2008,Richard Jenkins,The Visitor,Walter Vale ,
2008,Sean Penn,Milk,Harvey Milk ,
2008,Jeremy Renner,The Hurt Locker,Staff Sgt. First Class William James ,
2009,Jeff Bridges,Crazy Heart,"Otis ""Bad"" Blake ",
2009,Colin Firth,A Single Man,George Falconer ,
2009,Joseph Gordon-Levitt,(500) Days of Summer,Tom Hansen,
2009,Souleymane Sy Savane,Goodbye Solo,Solo,
2009,Adam Scott,The Vicious Kind,Caleb Sinclaire,
2010,James Franco,127 Hours,Aron Ralston ,
2010,Ronald Bronstein,Daddy Longlegs,Lenny Sokol,
2010,Aaron Eckhart,Rabbit Hole,Howie Corbett,
2010,John C. Reilly,Cyrus,John Kilpatrick,
2010,Ben Stiller,Greenberg,Roger Greenberg,
2011,Jean Dujardin,The Artist,George Valentin ,
2011,Demián Bichir,A Better Life,Carlos Galindo ,
2011,Ryan Gosling,Drive,Driver,
2011,Woody Harrelson,Rampart,Dave Brown,
2011,Michael Shannon,Take Shelter,Curtis LaForche,
2012,John Hawkes,The Sessions,Mark O'Brien,
2012,Jack Black,Bernie,Bernie Tiede,
2012,Bradley Cooper,Silver Linings Playbook,"Patrick ""Pat"" Solitano, Jr. ",
2012,Thure Lindhardt,Keep the Lights On,Erik,
2012,Matthew McConaughey,Killer Joe,"Joe ""Killer"" Cooper",
2012,Wendell Pierce,Four,Joe,
2013,Matthew McConaughey,Dallas Buyers Club,Ron Woodroof ,
2013,Bruce Dern,Nebraska,Woody Grant ,
2013,Chiwetel Ejiofor,12 Years a Slave,Solomon Northup ,
2013,Oscar Isaac,Inside Llewyn Davis,Llewyn Davis,
2013,Michael B. Jordan,Fruitvale Station,Oscar Grant III,
2013,Robert Redford,All Is Lost,Our Man,
2014,Michael Keaton,Birdman,Riggan Thomson ,
2014,André 3000,Jimi: All Is by My Side,Jimi Hendrix,
2014,Jake Gyllenhaal,Nightcrawler,"Louis ""Lou"" Bloom",
2014,John Lithgow,Love Is Strange,Ben,
2014,David Oyelowo,Selma,Martin Luther King Jr.,
2015,Abraham Attah,Beasts of No Nation,Agu,
2015,Christopher Abbott,James White,James White,
2015,Ben Mendelsohn,Mississippi Grind,Gerry,
2015,Jason Segel,The End of the Tour,David Foster Wallace,
2015,Koudous Seihon,Mediterranea,Aviva,
2016,Casey Affleck,Manchester by the Sea,Lee Chandler ,
2016,David Harewood,Free in Deed,Abe Wilkins,
2016,Viggo Mortensen,Captain Fantastic,Ben Cash ,
2016,Jesse Plemons,Other People,David Mulcahey,
2016,Tim Roth,Chronic,David Wilson,
1985,M. Emmet Walsh,Blood Simple,Investigator Loren Visser,
1985,Rubén Blades,Crossover Dreams,Rudy Veloz,
1985,Tom Bower,Wildrose,Rick Ogaard,
1985,Treat Williams,Smooth Talk,Arnold Friend,
1986,James Woods,Salvador,Richard Boyle ,
1986,Roberto Benigni,Down by Law,Roberto,
1986,Willem Dafoe,Platoon,Sgt. Elias ,
1986,Dennis Hopper,Blue Velvet,Frank Booth,
1986,Victor Love,Native Son,Bigger Thomas,
1987,Dennis Quaid,The Big Easy,Det. Remy McSwain,
1987,Spalding Gray,Swimming to Cambodia,Himself,
1987,Terry O'Quinn,The Stepfather,Jerry Blake,
1987,Mickey Rourke,Barfly,Henry Chinaski,
1987,James Woods,Best Seller,Cleve,
1988,Edward James Olmos,Stand and Deliver,Jaime Escalante ,
1988,Eric Bogosian,Talk Radio,Barry Champlain,
1988,Harvey Fierstein,Torch Song Trilogy,Arnold Beckoff,
1988,Chris Mulkey,Patti Rocks,Billy Regis,
1988,James Woods,The Boost,Lenny Brown,
1989,Matt Dillon,Drugstore Cowboy,Bob Hughes,
1989,Nicolas Cage,Vampire's Kiss,Peter Loew,
1989,Charles Lane,Sidewalk Stories,Artist,
1989,Randy Quaid,Parents,Nick Laemle,
1989,James Spader,"Sex, Lies, and Videotape",Graham Dalton,
