year,name,film
1990,Julia Roberts,Pretty Woman
1991,Jodie Foster,The Silence of the Lambs
1991,Juliet Stevenson,"Truly, Madly, Deeply"
1992,Emma Thompson,Howards End
1992,Judy Davis,Husbands and Wives
1992,Tara Morice,Strictly Ballroom
1992,Jessica Tandy,Fried Green Tomatoes
1993,Holly Hunter,The Piano
1993,Miranda Richardson,Tom and Viv
1993,Emma Thompson,The Remains of the Day
1993,Debra Winger,Shadowlands
1994,Susan Sarandon,The Client
1994,Linda Fiorentino,The Last Seduction
1994,Irne Jacob,Three Colours: Red (Trois couleurs: Rouge)
1994,Uma Thurman,Pulp Fiction
1995,Emma Thompson,Sense and Sensibility
1995,Nicole Kidman,To Die For
1995,Helen Mirren,The Madness of King George
1995,Elisabeth Shue,Leaving Las Vegas
1996,Brenda Blethyn,Secrets and Lies
1996,Frances McDormand,Fargo
1996,Kristin Scott Thomas,The English Patient
1996,Emily Watson,Breaking the Waves
1997,Judi Dench,Mrs Brown
1997,Kim Basinger,L.A. Confidential
1997,Helena Bonham Carter,The Wings of the Dove
1997,Kathy Burke,Nil by Mouth
1998,Cate Blanchett,Elizabeth
1998,Jane Horrocks,Little Voice
1998,Gwyneth Paltrow,Shakespeare in Love
1998,Emily Watson,Hilary and Jackie
1999,Annette Bening,American Beauty
1999,Linda Bassett,East is East
1999,Julianne Moore,The End of the Affair
1999,Emily Watson,Angela's Ashes
2000,Julia Roberts,Erin Brockovich
2000,Juliette Binoche,Chocolat
2000,Kate Hudson,Almost Famous
2000,Hilary Swank,Boys Don't Cry
2000,Michelle Yeoh,"Crouching Tiger, Hidden Dragon"
2001,Judi Dench,Iris
2001,Nicole Kidman,The Others
2001,Sissy Spacek,In the Bedroom
2001,Audrey Tautou,Amlie
2001,Rene Zellweger,Bridget Jones's Diary
2002,Nicole Kidman,The Hours
2002,Halle Berry,Monster's Ball
2002,Salma Hayek,Frida
2002,Meryl Streep,The Hours
2002,Rene Zellweger,Chicago
2003,Scarlett Johansson,Lost in Translation
2003,Scarlett Johansson,Girl with a Pearl Earring
2003,Anne Reid,The Mother
2003,Uma Thurman,Kill Bill: Volume 1
2003,Naomi Watts,21 Grams
2004,Imelda Staunton,Vera Drake
2004,Charlize Theron,Monster
2004,Finding Neverland,Sylvia Llewelyn Davies
2004,Ziyi Zhang,House of Flying Daggers
2005,Reese Witherspoon,Walk the Line
2005,Judi Dench,Mrs Henderson Presents
2005,Charlize Theron,North Country
2005,Rachel Weisz,The Constant Gardener
2005,Ziyi Zhang,Memoirs of a Geisha
2006,Helen Mirren,The Queen
2006,Penlope Cruz,Volver
2006,Judi Dench,Notes on a Scandal
2006,Meryl Streep,The Devil Wears Prada
2006,Kate Winslet,Little Children
2007,Marion Cotillard,La Vie en Rose
2007,Cate Blanchett,Elizabeth: The Golden Age
2007,Julie Christie,Away from Her
2007,Keira Knightley,Atonement
2007,Ellen Page,Juno
2008,Kate Winslet,The Reader
2008,Angelina Jolie,Changeling
2008,Meryl Streep,Doubt
2008,Kristin Scott Thomas,I've Loved You So Long
2008,Kate Winslet,Revolutionary Road
2009,Carey Mulligan,An Education
2009,Saoirse Ronan,The Lovely Bones
2009,Gabourey Sidibe,Precious
2009,Meryl Streep,Julie and Julia
2009,Audrey Tautou,Coco Before Chanel
2010,Natalie Portman,Black Swan
2010,Noomi Rapace,The Girl with the Dragon Tattoo
2010,Hailee Steinfeld,True Grit
2011,Meryl Streep,The Iron Lady
2011,Brnice Bejo,The Artist
2011,Viola Davis,The Help
2011,Tilda Swinton,We Need to Talk About Kevin
2011,Michelle Williams,My Week with Marilyn
2012,Emmanuelle Riva,Amour
2012,Jessica Chastain,Zero Dark Thirty
2012,Marion Cotillard,Rust and Bone
2012,Jennifer Lawrence,Silver Linings Playbook
2012,Helen Mirren,Hitchcock
2013,Cate Blanchett,Blue Jasmine
2013,Amy Adams,American Hustle
2013,Sandra Bullock,Gravity
2013,Judi Dench,Philomena
2013,Emma Thompson,Saving Mr. Banks
2014,Julianne Moore,Still Alice
2014,Amy Adams,Big Eyes
2014,Felicity Jones,The Theory of Everything
2014,Rosamund Pike,Gone Girl
2014,Reese Witherspoon,Wild
2015,Brie Larson,Room
2015,Cate Blanchett,Carol
2015,Saoirse Ronan,Brooklyn
2015,Maggie Smith,The Lady in the Van
2015,Alicia Vikander,The Danish Girl
2016,Emma Stone,La La Land
2016,Amy Adams,Arrival
2016,Emily Blunt,The Girl on the Train
2016,Natalie Portman,Jackie
2016,Meryl Streep,Florence Foster Jenkins
